TypeStay,GuestNationality,Region,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nights stay,Denmark,All Denmark,May,869230,1000159,903032,786050,824607,817700,831347,893877,694953,825896,913495,852745,1063617,1019452,908297,1117142,1204000,1166138,1135315,903589,1141556,1042284,949489,1051408,1013329,957977,1029386,873069,929747,0
Nights stay,Denmark,All Denmark,June,1367919,1163436,1098189,1206780,1073505,1079208,1115368,988106,1206815,1108369,1015875,1283675,1019314,1017292,1150863,1043537,1219005,1187432,1119802,1405463,1031962,1035383,1193424,1070277,1065644,1123681,1055179,1112191,1042075,0
Nights stay,Denmark,All Denmark,July,3521136,3221529,3366096,3462764,3257063,3454101,3028817,3190992,2910053,3099435,3172507,3364145,3179207,2918054,3181622,2917015,3179497,3117612,3093271,3010280,2774623,2923992,3029708,2825069,2717641,2598832,2738339,2689397,3425479,0
Nights stay,Denmark,All Denmark,August,1234078,1116135,1178846,1315492,1265204,1347042,1116650,1195842,1114345,1174272,1266535,1364089,1309881,1374458,1498503,1594511,1474273,1442587,1407762,1390155,1374631,1375343,1310428,1349233,1325150,1285612,1308752,1259201,1514042,0
Nights stay,Denmark,All Denmark,September,411100,395143,385739,384000,408683,425356,395771,455822,428565,415804,495445,510730,504661,557697,588534,592898,602704,638953,580610,557411,564989,536787,560017,553270,600231,581583,561376,542879,636089,0
Nights stay,Denmark,All Denmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241914,251018,241115,253793,239504,293932,0
Nights stay,Denmark,All Denmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91100,83584,86773,85169,84735,95584,0
Nights stay,Denmark,All Denmark,December,178545,167280,170323,165142,175468,204748,208738,231291,220993,237856,256609,265193,309220,349802,371056,391080,438158,459410,377452,386229,370800,372466,362267,87935,77341,79483,78536,80092,81672,0
Nights stay,Denmark,Region Hovedstaden,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7537,9653,10399,10363,10353,9163,10996
Nights stay,Denmark,Region Hovedstaden,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8374,9959,10253,10166,10636,9142,12778
Nights stay,Denmark,Region Hovedstaden,March,14686,18072,19882,19379,18066,21300,21688,22961,26516,26899,36451,25442,23392,43144,34475,45821,52946,33980,39422,25417,37174,32575,27986,13875,20755,19532,18093,14402,11397,22160
Nights stay,Denmark,Region Hovedstaden,April,46656,57849,53951,47561,38730,34251,45390,47695,60061,55527,52779,57703,56387,53854,56999,66124,59474,55734,56749,59956,54506,45971,56035,50772,45832,53110,45376,53977,37412,0
Nights stay,Denmark,Region Hovedstaden,May,93404,96656,77057,68988,67429,69270,76066,77923,66875,76309,82933,77745,88776,84587,81294,90530,98660,87199,82692,72255,85011,78772,72548,79269,76552,73395,80945,70286,73285,0
Nights stay,Denmark,Region Hovedstaden,June,146332,134197,111669,122681,107247,104644,107634,113096,111957,96839,100524,108200,89794,92959,103025,93085,111692,94996,94279,108005,86448,87414,100066,95946,97484,100848,100576,99629,92041,0
Nights stay,Denmark,Region Hovedstaden,July,292423,290740,310327,310914,298842,297238,288204,301757,276576,279585,281996,293753,274134,258684,279401,252207,265724,257411,239679,230838,213194,223073,219057,217426,209321,204256,203259,223022,267299,0
Nights stay,Denmark,Region Hovedstaden,August,130867,125819,119982,125169,130458,141320,110749,120755,117733,117600,115787,119820,118064,121959,132043,136532,131622,119015,116531,113892,118173,121135,127835,117984,115004,114740,119707,113773,137896,0
Nights stay,Denmark,Region Hovedstaden,September,49212,46561,41170,40460,43212,47713,45771,52142,47761,49402,50372,51365,50543,56245,56079,58591,61328,58773,54247,52782,52175,51871,50827,51610,55171,54653,55025,53165,62098,0
Nights stay,Denmark,Region Hovedstaden,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25225,24976,25985,23398,22998,27953,0
Nights stay,Denmark,Region Hovedstaden,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12250,13045,13474,12527,13157,14466,0
Nights stay,Denmark,Region Hovedstaden,December,29741,24663,24225,23638,26589,28570,29411,30310,33483,35799,34775,26826,39000,53620,55411,51553,53922,57262,44530,51865,50911,52782,47678,10840,11539,11886,11645,11769,12877,0
Nights stay,Denmark,Region Sjælland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13767,13344,14238,16392,14720,12696,15010
Nights stay,Denmark,Region Sjælland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13273,14850,15654,16175,13667,14868,15790
Nights stay,Denmark,Region Sjælland,March,52608,24889,21799,18776,13143,26112,27383,20320,20280,20759,46543,32257,42683,76229,42532,43750,95824,44508,46320,42385,49256,42929,43570,23929,36625,26962,29597,18840,17175,29773
Nights stay,Denmark,Region Sjælland,April,111262,120083,92508,102820,81503,72284,82712,79123,88377,89780,92912,122637,127562,111626,139067,156168,123732,151457,127979,135418,110131,91162,112624,107529,98769,109404,104692,110057,87511,0
